sales_date, product_description quantity_sold
2023-01 WILKINS DISTILLED 7L	85
2023-01	16	48
2023-01 	NOB 3-in-1 Choco Manga Ube 1.5	185
2023-01 	35	35
2023-01 	POT CHIPS V-CUT BBQ 25gx80	130.5
2023-01 	CURLS ASST JNJ 7.5 PESOS	42
2023-01 	15	15
2023-01 	6	18
2023-01 	CREAMSILK TRIPLE KERATIN STR 10ML BY12	40
2023-01 	HAPPY COTTON 10G	9
2023-01 	BEAR BRAND Junior 420g	190
2023-01 	23	23
2023-01 	CRUNCH Stick 24x60ml	35
2023-01	15	15
2023-01 CAMEL CIG	88
2023-01 MOBY CARAMEL 90G	42
2023-01	REGENT TEMPURA SHRIMP	20
2023-01 CHEEZ IT CHEESE 90G	21
2023-01	CHIPS DELIGHT 80G	58
2023-01	26	26
2023-01	GARDENIA CLASSIC 600g	82
2023-01	MIGHTY GREEN FLIPTOP	107
2023-01	RIBBED CRACKLING 26g XS LS	18
2023-01	12	12
2023-01	RC COLA QUTE	110
2023-01	SANMIG SUGARFEE 10S	65
2023-01	15	15
2023-01	16	16
2023-01	TP SAGOT GULAMAN 500G	110
2023-01	CAMEL CIG	176
2023-01	18	18
2023-01	C2 LITRO APPLE 1000MLX12	47
2023-01	JUICE ASST LITRO	40
2023-01 120	120
2023-01 CURLS ASST 18	37
2023-01 BODY SOAP ASST	39
2023-01	PANCIT CANTON KALAMANSI	13.75
2023-01	TOOTHPASTE RETAIL 9	18
2023-01	SHAMPOO/CONDITIONER RETAIL ASST	13
2023-01	55	55
2023-01	FITA CRACKER	54
2023-01	ENERGEN CHAMPION TWIN BY 8 70G	110
2023-01WILKINS DISTILLED 7L	85
2023-01	DOVE SERUM  REPAIR BY 12	41
2023-01	WAFELLO CHOCO 53.5G	110
2023-01	POT CHIPS V-CUT BBQ 25gx80	14.5
2023-01	PIATTOS SOUR CREAM 80	14.5
2023-01	BREAD PAN BUTTERED 24g LS	12
2023-01	PEEWEE BBQ	6
2023-01	OISHI CRACKER 26G	6
2023-01	CHIPPY CHILI &amp; CHEESE 30gx100	7
2023-01	GG TORTILLOS BBQ 25gX100	7
2023-01 	GT 3IN1 WHITE TWIN PACK 50gX10X24	57.5
2023-01 	POWDER RETAIL ASST 6	30
2023-01 	ENERGEN MILK HANGER	77
2023-01	LIPA PABORITA BY 10	60
2023-01 	BEAR BRAND Powdered Milk Drink 300g	118
2023-01 	DS Ube Cheesecake 100 ml	31
2023-01	POT CHIPS V-CUT BBQ 25gx80	14.5
2023-01 	NOVA COUNTRY CHEDDAR 40gx80	14.5
2023-01 	NAGARAYA BARBEQUE 40G	22
2023-01 	TISYU	12.5
2023-01 POT CHIPS V-CUT BBQ 25gx80	14.5
2023-0 	BOY BAWANG ASST NUTS 85G	22
2023-01 	PIATTOS CHEESE 40gx80	14.5
2023-01 	NAGARAYA BARBEQUE 40G	11
2023-01 	CURLS ASST 18	18.5
2023-01 	CHEEZY SNACK ORIG	6.5
2023-01 	18	18
2023-01 	BOY BAWANG GARLIC 100G	19
2023-01 	HIHO CRACKER NUTS	18.5
2023-01 	MARTYS SPICY 25g LS	30
2023-01 	NAGARAYA BARBEQUE 40G	22
2023-01 	HIHO BLACK 5G	18.5
2023-01 	20	40
2023-01 POTCHI CHOCO MALLOWS	23
2023-01 PRINGLES CHEESE 107G	76
2023-01 	MAGIC PANTS L10	80
2023-01 MIGHTY GREEN FLIPTOP	214
2023-01 	MARVELS GREEN	214
2023-01 	CAMEL CIG	176
2023-01 	285	285
2023-01 	MIGHTY GREEN FLIPTOP	107
2023-01 	MARLBORO RED 20'S	135.5
2023-01 FUN CHOCOLATE	23.5
2023-01 	MANG JUAN SUKA'T SILI 18S	21
2023-01 	REGENT TEMPURA SHRIMP	20
2023-01 	SHAMPOO/CONDITIONER RETAIL ASST	32.5
2023-01 	PANCIT CANTON HOT NEW	137.5
2023-01 	TIDE PWD PERF FAN  BY 6	80
2023-01 	POWDER RETAIL ASST 14	28
2023-01 	WASHED SUGAR 225G	42
2023-01 	GT PREMIUM BP 50GX24	38
2023-01 	CALLA S FRESH PWD 100G BY 6	66
2023-01 DOWNY G BLOOM 24ML BY6	36
2023-01 MILO TWIN 48G BY 8	118
2023-01 	20	20
2023-01	MARVELS RED	107
2023-01	WASHED SUGAR 225G	21
